<<<<<<< HEAD
impression_id, clicked_ad ,cost,currently_insured,number_of_vehicles,number_of_drivers,marital_status,ranked_as,policies_sold
73, -   ,10,Y,2,2,M,2, -   
74, -   ,10,Y,1,1,M,2, -   
75, -   ,10,N,2,1,M,5, -   
76, 1 ,10,N,1,2,S,1, 1 
77, -   ,10,N,1,2,M,1, -   
78, -   ,10,N,2,2,M,5, -   
79, -   ,10,N,1,1,M,4, -   
80, -   ,10,Y,2,1,M,3, -   
81, -   ,10,Y,1,1,S,3, -   
82, -   ,10,N,2,2,M,3, -   
83, 1 ,10,N,1,2,S,1, 1 
84, 1 ,10,Y,1,2,M,3, 1 
85, -   ,10,N,2,2,S,5, -   
86, -   ,10,Y,1,2,M,3, -   
87, -   ,10,Y,2,2,M,4, -   
88, 1 ,10,N,1,2,M,1, 1 
89, -   ,10,Y,1,1,M,3, -   
90, 1 ,10,Y,1,2,M,1, -   
91, 1 ,10,N,2,1,M,5, -   
92, -   ,10,N,2,1,M,4, -   
93, -   ,10,Y,1,2,M,4, -   
94, -   ,10,N,1,2,M,2, -   
95, -   ,10,Y,2,1,M,5, -   
96, -   ,10,N,1,1,M,3, -   
97, -   ,10,N,2,1,M,4, -   
98, -   ,10,Y,2,2,M,3, -   
99, -   ,10,Y,1,2,M,2, -   
100, -   ,10,Y,2,2,M,4, -   
101, -   ,10,Y,1,2,S,4, -   
102, -   ,10,N,1,2,S,2, -   
103, -   ,10,Y,2,1,M,3, -   
104, -   ,10,Y,2,1,M,5, -   
105, -   ,10,Y,2,1,M,5, -   
106, 1 ,10,N,2,1,M,5, 1 
107, -   ,10,N,1,2,M,3, -   
108, -   ,10,N,2,1,M,5, -   
109, -   ,10,Y,1,2,M,2, -   
110, -   ,10,N,1,1,M,1, -   
111, -   ,10,N,1,1,M,4, -   
112, -   ,10,N,1,2,S,2, -   
113, -   ,10,N,2,2,M,5, -   
114, -   ,10,N,2,1,M,5, -   
115, -   ,10,Y,1,2,M,3, -   
116, -   ,10,N,2,1,M,4, -   
117, -   ,10,N,1,1,M,3, -   
118, 1 ,10,Y,2,2,M,3, -   
119, -   ,10,N,2,2,M,5, -   
120, -   ,10,N,1,2,S,3, -   
121, -   ,10,N,1,1,M,1, -   
122, -   ,10,N,2,2,M,4, -   
123, -   ,10,Y,2,2,M,3, -   
124, -   ,10,Y,1,2,M,4, -   
125, 1 ,10,Y,1,2,S,1, -   
126, -   ,10,Y,2,1,M,5, -   
127, -   ,10,N,2,1,M,5, -   
128, -   ,10,N,2,1,M,3, -   
129, 1 ,10,N,2,2,S,4, -   
130, -   ,10,N,2,1,M,5, -   
131, -   ,10,Y,2,2,S,3, -   
132, -   ,10,N,2,1,M,5, -   
133, -   ,10,Y,1,2,S,4, -   
134, -   ,10,N,1,2,M,1, -   
135, 1 ,10,Y,2,1,M,4, -   
136, -   ,10,Y,2,1,M,3, -   
137, -   ,10,N,2,2,S,3, -   
138, -   ,10,N,2,1,M,5, -   
139, -   ,10,N,1,1,M,3, -   
140, 1 ,10,N,2,1,M,3, -   
141, -   ,10,Y,2,1,M,4, -   
142, -   ,10,N,2,1,M,4, -   
143, -   ,10,Y,2,1,M,3, -   
144, -   ,10,Y,2,2,M,4, -   
145, -   ,10,N,2,1,M,5, -   
146, 1 ,10,N,1,2,S,1, -   
147, -   ,10,N,1,2,M,2, -   
148, -   ,10,Y,2,2,S,4, -   
149, -   ,10,N,2,2,S,4, -   
150, -   ,10,Y,1,2,S,3, -   
151, -   ,10,N,2,1,M,5, -   
152, -   ,10,N,2,1,M,3, -   
153, -   ,10,Y,2,1,M,5, -   
154, -   ,10,N,2,2,S,3, -   
155, -   ,10,Y,1,2,S,3, -   
156, 1 ,10,N,1,2,S,1, 1 
157, -   ,10,Y,1,1,M,2, -   
158, -   ,10,Y,2,1,M,4, -   
159, 1 ,10,N,1,1,M,3, 1 
160, -   ,10,N,1,1,M,4, -   
161, -   ,10,N,2,2,M,3, -   
162, -   ,10,Y,1,2,S,4, -   
163, -   ,10,Y,2,1,M,4, -   
164, -   ,10,Y,2,1,M,5, -   
165, -   ,10,Y,2,1,M,4, -   
166, -   ,10,Y,2,1,M,4, -   
167, 1 ,10,N,1,2,S,3, -   
168, -   ,10,Y,1,2,M,2, -   
169, -   ,10,N,1,1,M,2, -   
170, -   ,10,N,1,1,M,4, -   
171, -   ,10,Y,2,2,S,4, -   
172, 1 ,10,Y,1,1,M,2, -   
173, -   ,10,Y,2,2,M,4, -   
174, -   ,10,Y,2,2,M,4, -   
175, -   ,10,N,1,2,M,1, -   
176, -   ,10,Y,2,1,M,5, -   
177, -   ,10,N,1,2,M,1, -   
178, -   ,10,Y,2,1,M,3, -   
179, 1 ,10,N,1,2,M,1, 1 
180, -   ,10,N,1,1,M,3, -   
181, -   ,10,N,2,1,M,5, -   
182, -   ,10,N,2,1,M,5, -   
183, 1 ,10,N,1,2,M,1, 1 
184, -   ,10,N,2,1,M,4, -   
185, -   ,10,N,2,1,M,5, -   
186, -   ,10,N,2,1,M,5, -   
187, -   ,10,Y,2,2,S,5, -   
188, -   ,10,Y,2,1,M,3, -   
189, -   ,10,Y,2,1,M,3, -   
190, -   ,10,Y,1,2,M,4, -   
191, -   ,10,N,2,1,M,3, -   
192, -   ,10,N,2,1,M,3, -   
193, -   ,10,N,2,1,M,4, -   
194, 1 ,10,Y,1,2,S,1, -   
195, -   ,10,Y,1,1,S,3, -   
196, -   ,10,Y,1,1,M,2, -   
197, 1 ,10,Y,1,1,M,1, -   
198, -   ,10,N,2,1,M,4, -   
199, -   ,10,Y,1,1,M,3, -   
200, -   ,10,N,2,2,S,3, -   
201, -   ,10,Y,1,2,M,4, -   
202, -   ,10,N,2,1,M,4, -   
203, 1 ,10,N,2,1,M,3, 1 
204, -   ,10,Y,1,1,M,2, -   
205, -   ,10,Y,1,2,S,2, -   
206, -   ,10,N,2,1,M,3, -   
207, -   ,10,N,1,1,M,3, -   
208, -   ,10,N,2,1,M,5, -   
209, -   ,10,N,2,2,S,4, -   
210, -   ,10,N,2,2,M,4, -   
211, -   ,10,Y,2,2,M,4, -   
212, -   ,10,N,2,1,M,3, -   
213, 1 ,10,Y,1,2,M,2, -   
214, -   ,10,N,2,1,S,5, -   
215, -   ,10,Y,2,1,M,3, -   
216, -   ,10,N,2,1,M,5, -   
217, -   ,10,Y,1,1,M,1, -   
218, -   ,10,Y,2,1,M,5, -   
219, 1 ,10,Y,1,2,S,3, -   
220, -   ,10,Y,1,1,M,1, -   
221, 1 ,10,Y,2,1,M,3, -   
222, -   ,10,N,2,1,M,5, -   
223, -   ,10,N,2,1,M,3, -   
224, -   ,10,N,2,1,M,5, -   
225, -   ,10,Y,2,2,M,5, -   
226, -   ,10,Y,1,2,S,3, -   
227, -   ,10,Y,2,1,M,5, -   
228, -   ,10,N,2,1,M,5, -   
229, -   ,10,Y,1,1,M,1, -   
230, -   ,10,Y,2,1,M,5, -   
231, -   ,10,N,2,2,M,4, -   
232, -   ,10,N,2,1,M,5, -   
233, -   ,10,N,2,1,M,5, -   
234, 1 ,10,N,1,2,M,2, 1 
235, -   ,10,Y,2,1,M,3, -   
236, -   ,10,N,2,2,S,4, -   
237, -   ,10,Y,1,2,S,3, -   
238, -   ,10,Y,2,1,M,3, -   
239, -   ,10,Y,2,2,M,5, -   
240, -   ,10,Y,2,1,M,4, -   
241, -   ,10,N,1,1,M,4, -   
242, -   ,10,N,2,1,M,5, -   
243, -   ,10,N,2,2,M,4, -   
244, -   ,10,N,2,1,M,5, -   
245, -   ,10,N,2,1,S,4, -   
246, 1 ,10,N,1,2,S,1, 1 
247, -   ,10,N,1,1,M,1, -   
248, -   ,10,Y,1,2,M,3, -   
249, -   ,10,Y,2,1,M,4, -   
250, 1 ,10,Y,2,1,M,3, -   
251, -   ,10,Y,2,1,S,5, -   
252, -   ,10,Y,1,2,S,1, -   
253, -   ,10,Y,1,2,S,3, -   
254, -   ,10,N,2,2,S,3, -   
255, -   ,10,N,2,1,M,5, -   
256, -   ,10,N,2,1,M,3, -   
257, -   ,10,N,2,2,S,2, -   
258, -   ,10,Y,2,2,M,5, -   
259, -   ,10,N,2,1,M,5, -   
260, -   ,10,Y,1,2,S,3, -   
261, -   ,10,Y,1,2,S,3, -   
262, -   ,10,Y,1,1,M,4, -   
263, -   ,10,Y,1,1,S,4, -   
264, -   ,10,Y,2,1,M,5, -   
265, 1 ,10,N,2,2,M,2, -   
266, -   ,10,N,1,2,S,2, -   
267, -   ,10,N,2,2,M,3, -   
268, 1 ,10,N,1,2,S,1, 1 
269, -   ,10,Y,2,1,M,5, -   
270, -   ,10,N,2,1,M,4, -   
271, -   ,10,Y,1,2,M,3, -   
272, -   ,10,N,2,1,S,3, -   
273, -   ,10,N,2,1,M,4, -   
274, -   ,10,N,2,1,M,4, -   
275, -   ,10,N,2,1,M,4, -   
276, -   ,10,N,2,1,M,5, -   
277, -   ,10,Y,2,1,M,3, -   
278, -   ,10,Y,2,1,M,5, -   
279, 1 ,10,N,1,1,M,1, -   
280, -   ,10,Y,1,2,M,2, -   
281, -   ,10,Y,1,2,M,3, -   
282, -   ,10,N,2,1,M,5, -   
283, -   ,10,Y,2,2,M,3, -   
284, -   ,10,N,2,1,M,5, -   
285, 1 ,10,N,1,2,S,1, -   
286, -   ,10,N,2,2,M,2, -   
287, -   ,10,N,1,2,S,3, -   
288, -   ,10,Y,2,1,M,5, -   
289, -   ,10,N,2,1,M,5, -   
290, -   ,10,Y,2,1,M,5, -   
291, -   ,10,Y,2,1,M,5, -   
292, -   ,10,Y,1,1,M,2, -   
293, -   ,10,Y,1,2,S,3, -   
294, -   ,10,N,2,1,M,5, -   
295, 1 ,10,N,1,2,M,1, 1 
296, -   ,10,N,1,1,M,4, -   
297, -   ,10,N,2,1,M,5, -   
298, -   ,10,Y,1,1,M,3, -   
299, -   ,10,Y,1,1,S,4, -   
300, -   ,10,Y,2,1,M,4, -   
301, -   ,10,N,2,1,M,4, -   
302, -   ,10,N,2,1,M,5, -   
303, -   ,10,N,1,1,M,1, -   
304, 1 ,10,Y,1,2,M,2, -   
305, -   ,10,N,2,1,M,3, -   
306, -   ,10,N,2,1,M,5, -   
307, -   ,10,Y,1,2,M,3, -   
308, -   ,10,Y,2,2,M,5, -   
309, -   ,10,N,2,1,M,5, -   
310, -   ,10,Y,2,1,M,3, -   
311, -   ,10,Y,2,1,M,4, -   
312, -   ,10,N,2,2,S,4, -   
313, -   ,10,N,2,1,M,4, -   
314, -   ,10,Y,1,1,M,2, -   
315, -   ,10,N,2,1,M,4, -   
316, -   ,10,Y,2,1,M,5, -   
317, -   ,10,Y,2,1,M,5, -   
318, -   ,10,Y,1,2,M,1, -   
319, -   ,10,Y,2,1,M,5, -   
320, -   ,10,N,2,1,M,3, -   
321, -   ,10,Y,2,2,M,3, -   
322, -   ,10,N,2,1,M,4, -   
323, -   ,10,N,2,2,S,3, -   
324, -   ,10,Y,1,2,M,3, -   
325, -   ,10,N,1,1,M,1, -   
326, -   ,10,N,1,2,S,2, -   
327, -   ,10,N,2,1,M,4, -   
328, -   ,10,Y,1,1,M,3, -   
329, -   ,10,Y,2,1,M,4, -   
330, -   ,10,Y,2,1,M,3, -   
331, -   ,10,N,1,2,M,2, -   
332, -   ,10,Y,2,1,M,5, -   
333, -   ,10,Y,2,2,S,5, -   
334, -   ,10,Y,1,2,M,2, -   
335, 1 ,10,N,1,2,S,1, -   
336, -   ,10,Y,1,1,M,3, -   
337, -   ,10,N,1,2,S,2, -   
338, -   ,10,N,1,1,M,2, -   
339, -   ,10,Y,1,1,M,2, -   
340, -   ,10,N,2,1,M,5, -   
341, -   ,10,Y,2,1,M,4, -   
342, -   ,10,Y,2,1,M,3, -   
343, 1 ,10,N,2,2,M,4, -   
344, -   ,10,N,1,2,M,2, -   
345, -   ,10,N,2,1,M,4, -   
346, 1 ,10,Y,1,2,M,1, 1 
347, -   ,10,N,2,2,M,5, -   
348, -   ,10,Y,1,2,S,3, -   
349, -   ,10,Y,2,2,M,4, -   
350, -   ,10,N,2,1,M,5, -   
351, -   ,10,N,2,1,M,5, -   
352, -   ,10,N,1,2,S,1, -   
353, -   ,10,Y,2,1,M,5, -   
354, 1 ,10,Y,1,1,M,1, 1 
355, -   ,10,N,1,1,M,3, -   
356, 1 ,10,Y,1,2,M,1, -   
357, 1 ,10,N,1,1,M,2, -   
358, -   ,10,N,2,2,S,3, -   
359, -   ,10,Y,1,1,M,3, -   
360, -   ,10,Y,2,1,M,5, -   
361, -   ,10,Y,1,2,M,3, -   
362, -   ,10,N,2,1,M,5, -   
363, -   ,10,N,1,2,M,3, -   
364, 1 ,10,N,1,1,M,3, 1 
365, -   ,10,Y,2,1,M,5, -   
366, -   ,10,N,2,2,S,3, -   
367, -   ,10,N,2,2,M,4, -   
368, -   ,10,Y,1,1,M,4, -   
369, 1 ,10,Y,1,1,M,2, -   
370, -   ,10,N,2,1,M,5, -   
371, -   ,10,N,1,1,M,1, -   
372, -   ,10,Y,1,1,M,1, -   
373, 1 ,10,N,2,2,S,4, 1 
374, -   ,10,N,2,1,M,5, -   
375, 1 ,10,N,1,2,M,1, 1 
376, -   ,10,N,2,1,M,3, -   
377, -   ,10,Y,2,2,S,4, -   
378, -   ,10,Y,2,1,M,5, -   
379, -   ,10,Y,1,1,M,2, -   
380, -   ,10,Y,2,1,M,5, -   
381, 1 ,10,Y,1,2,M,1, -   
382, -   ,10,N,2,2,M,2, -   
383, -   ,10,N,2,2,M,3, -   
384, -   ,10,N,2,1,M,5, -   
385, -   ,10,N,2,2,S,3, -   
386, -   ,10,Y,1,2,S,3, -   
387, -   ,10,Y,2,1,M,5, -   
388, -   ,10,Y,1,2,S,2, -   
389, -   ,10,Y,2,1,M,4, -   
390, -   ,10,N,2,1,M,4, -   
391, -   ,10,N,2,1,M,5, -   
392, -   ,10,N,2,1,M,4, -   
393, -   ,10,N,2,2,M,2, -   
394, -   ,10,N,1,1,M,4, -   
395, 1 ,10,Y,2,2,M,5, 1 
396, -   ,10,Y,2,2,M,3, -   
397, -   ,10,Y,1,1,M,2, -   
398, -   ,10,N,2,1,M,4, -   
399, -   ,10,Y,1,1,M,4, -   
400, -   ,10,Y,2,1,M,5, -   
401, -   ,10,Y,2,1,M,5, -   
402, 1 ,10,N,1,2,S,1, 1 
403, 1 ,10,N,2,2,S,3, -   
404, -   ,10,Y,1,2,M,4, -   
405, -   ,10,N,1,2,M,3, -   
406, -   ,10,N,2,1,M,3, -   
407, 1 ,10,N,2,2,S,2, 1 
408, -   ,10,Y,2,1,M,5, -   
409, -   ,10,Y,1,1,M,4, -   
410, -   ,10,Y,2,1,M,5, -   
411, -   ,10,Y,1,1,M,3, -   
412, 1 ,10,N,1,2,M,1, -   
413, -   ,10,Y,2,1,M,5, -   
414, -   ,10,N,2,1,M,4, -   
415, -   ,10,Y,1,2,S,2, -   
416, 1 ,10,Y,2,1,M,3, -   
417, -   ,10,N,2,1,M,5, -   
418, 1 ,10,N,1,2,S,1, 1 
419, -   ,10,Y,1,2,M,4, -   
420, -   ,10,N,2,2,S,3, -   
421, -   ,10,Y,2,1,M,4, -   
422, 1 ,10,N,1,2,S,1, -   
423, -   ,10,Y,2,2,S,2, -   
424, -   ,10,Y,1,2,S,2, -   
425, -   ,10,N,2,1,M,5, -   
426, 1 ,10,N,1,2,M,1, -   
427, -   ,10,Y,2,1,M,5, -   
428, -   ,10,Y,2,2,S,4, -   
429, -   ,10,N,2,1,M,3, -   
430, -   ,10,Y,2,1,M,3, -   
431, -   ,10,N,2,1,M,5, -   
432, -   ,10,N,2,1,M,5, -   
433, -   ,10,N,1,2,S,1, -   
434, -   ,10,Y,1,2,M,3, -   
435, -   ,10,Y,2,1,M,4, -   
436, 1 ,10,Y,1,2,S,1, 1 
437, -   ,10,Y,2,1,M,5, -   
438, -   ,10,N,2,1,M,3, -   
439, 1 ,10,N,1,2,S,1, -   
440, -   ,10,Y,2,1,M,3, -   
441, -   ,10,N,2,1,M,3, -   
442, -   ,10,Y,2,1,M,4, -   
443, -   ,10,Y,2,1,M,5, -   
444, -   ,10,Y,2,1,M,4, -   
445, -   ,10,N,1,1,M,2, -   
446, -   ,10,Y,2,1,M,5, -   
447, -   ,10,Y,1,2,S,4, -   
448, -   ,10,N,2,1,M,4, -   
449, -   ,10,N,2,1,M,5, -   
450, -   ,10,Y,2,1,M,3, -   
451, 1 ,10,N,1,2,M,1, -   
452, -   ,10,N,2,1,M,3, -   
453, -   ,10,Y,1,1,M,1, -   
454, 1 ,10,Y,2,2,S,3, -   
455, -   ,10,Y,1,2,M,3, -   
456, -   ,10,N,1,2,M,1, -   
457, -   ,10,Y,1,2,S,4, -   
458, -   ,10,Y,1,2,S,2, -   
459, 1 ,10,N,2,2,M,2, -   
460, 1 ,10,Y,2,2,S,3, -   
461, -   ,10,N,2,2,S,4, -   
462, -   ,10,N,1,1,M,1, -   
463, -   ,10,Y,2,2,M,3, -   
464, -   ,10,Y,1,2,S,2, -   
465, -   ,10,Y,1,2,M,3, -   
466, 1 ,10,Y,1,1,M,2, -   
467, -   ,10,N,1,1,M,2, -   
468, -   ,10,Y,2,1,M,3, -   
469, -   ,10,Y,2,1,M,4, -   
470, -   ,10,Y,2,1,M,5, -   
471, 1 ,10,N,1,2,M,1, 1 
472, -   ,10,Y,1,2,M,2, -   
473, -   ,10,Y,2,1,M,3, -   
474, -   ,10,N,1,1,M,2, -   
475, -   ,10,N,2,1,M,3, -   
476, -   ,10,N,2,1,M,3, -   
477, -   ,10,Y,1,2,S,3, -   
478, -   ,10,Y,2,2,M,3, -   
479, -   ,10,Y,1,1,M,2, -   
480, -   ,10,Y,2,1,M,5, -   
481, -   ,10,Y,1,2,S,2, -   
482, -   ,10,Y,2,1,M,5, -   
483, -   ,10,N,1,1,M,1, -   
484, -   ,10,Y,2,2,M,2, -   
485, -   ,10,Y,2,2,M,4, -   
486, -   ,10,N,1,2,M,2, -   
487, -   ,10,Y,2,1,M,3, -   
488, -   ,10,N,2,2,S,3, -   
489, -   ,10,Y,2,1,M,3, -   
490, -   ,10,Y,2,2,S,3, -   
491, -   ,10,N,2,1,M,5, -   
492, -   ,10,Y,2,1,S,3, -   
493, -   ,10,N,2,2,M,5, -   
494, -   ,10,N,1,1,M,2, -   
495, -   ,10,Y,1,1,M,2, -   
496, -   ,10,N,2,1,M,5, -   
497, -   ,10,Y,1,1,M,2, -   
498, -   ,10,N,1,2,M,1, -   
499, -   ,10,Y,2,1,M,5, -   
500, 1 ,10,N,2,1,M,4, -   
501, -   ,10,N,2,1,M,4, -   
502, 1 ,10,Y,1,2,M,2, -   
503, -   ,10,N,1,2,S,3, -   
504, -   ,10,Y,1,2,S,4, -   
505, -   ,10,N,2,1,M,5, -   
506, -   ,10,Y,2,1,M,5, -   
507, -   ,10,N,2,2,M,3, -   
508, -   ,10,N,2,2,S,4, -   
509, -   ,10,N,1,2,S,1, -   
510, -   ,10,Y,1,2,M,3, -   
511, 1 ,10,Y,2,2,M,2, -   
512, -   ,10,Y,2,1,M,4, -   
513, -   ,10,N,2,1,M,5, -   
514, -   ,10,Y,2,2,S,3, -   
515, -   ,10,N,2,2,M,2, -   
516, -   ,10,N,2,2,M,3, -   
517, 1 ,10,Y,1,2,S,1, -   
518, 1 ,10,Y,2,1,M,3, -   
519, -   ,10,Y,1,2,M,2, -   
520, -   ,10,Y,2,1,M,3, -   
521, 1 ,10,Y,1,2,M,3, -   
522, -   ,10,Y,1,1,M,4, -   
523, -   ,10,Y,2,1,M,4, -   
524, 1 ,10,N,1,2,S,1, -   
525, -   ,10,Y,2,1,M,4, -   
526, 1 ,10,N,1,2,M,3, -   
527, -   ,10,Y,1,2,S,4, -   
528, -   ,10,N,2,1,M,4, -   
529, -   ,10,N,2,1,S,5, -   
530, -   ,10,Y,1,2,M,4, -   
531, 1 ,10,N,1,2,M,2, -   
532, -   ,10,N,2,2,S,2, -   
533, -   ,10,Y,1,2,S,1, -   
534, -   ,10,Y,2,1,M,5, -   
535, -   ,10,Y,2,2,S,5, -   
536, -   ,10,Y,2,2,M,4, -   
537, -   ,10,N,1,2,M,1, -   
538, -   ,10,N,2,1,M,5, -   
539, -   ,10,Y,1,1,M,4, -   
540, -   ,10,N,1,1,M,3, -   
541, -   ,10,Y,2,1,M,5, -   
542, -   ,10,Y,1,2,S,2, -   
543, -   ,10,Y,2,1,M,5, -   
544, -   ,10,Y,1,1,M,1, -   
545, -   ,10,Y,2,1,M,5, -   
546, -   ,10,N,2,2,S,3, -   
547, -   ,10,Y,2,1,M,5, -   
548, -   ,10,N,1,2,S,3, -   
549, -   ,10,Y,1,2,S,1, -   
550, -   ,10,Y,2,1,M,5, -   
551, -   ,10,Y,2,1,M,5, -   
552, 1 ,10,N,1,2,M,1, -   
553, -   ,10,Y,2,2,S,3, -   
554, -   ,10,N,1,2,M,1, -   
555, -   ,10,Y,2,1,M,4, -   
556, 1 ,10,Y,1,1,M,1, 1 
557, -   ,10,N,2,1,M,4, -   
558, -   ,10,Y,2,2,S,2, -   
559, -   ,10,N,1,2,S,1, -   
560, -   ,10,N,2,2,S,2, -   
561, -   ,10,Y,2,1,M,5, -   
562, 1 ,10,Y,1,2,S,2, -   
563, -   ,10,Y,2,1,S,4, -   
564, -   ,10,Y,1,2,M,2, -   
565, -   ,10,Y,1,1,M,2, -   
566, -   ,10,N,2,2,M,2, -   
567, -   ,10,N,1,2,S,2, -   
568, -   ,10,N,2,2,S,3, -   
569, 1 ,10,Y,1,2,S,1, -   
570, -   ,10,N,2,1,M,5, -   
571, -   ,10,N,1,2,S,2, -   
572, -   ,10,Y,2,1,M,3, -   
573, -   ,10,Y,2,1,S,5, -   
574, -   ,10,N,2,1,M,5, -   
575, -   ,10,N,2,1,M,5, -   
576, -   ,10,N,1,1,M,2, -   
577, -   ,10,N,2,1,M,5, -   
578, -   ,10,Y,2,1,M,4, -   
579, 1 ,10,N,1,2,M,1, -   
580, 1 ,10,N,1,1,M,2, -   
581, -   ,10,N,2,1,M,5, -   
582, -   ,10,Y,1,2,M,3, -   
583, -   ,10,Y,2,1,M,5, -   
584, -   ,10,N,2,2,S,3, -   
585, -   ,10,Y,1,1,M,2, -   
586, -   ,10,N,2,2,M,3, -   
587, -   ,10,Y,1,2,M,2, -   
588, -   ,10,Y,1,1,M,1, -   
589, 1 ,10,N,1,2,S,2, 1 
590, 1 ,10,N,2,1,M,3, -   
591, -   ,10,N,2,2,S,4, -   
592, -   ,10,Y,2,2,M,5, -   
593, -   ,10,N,1,2,S,3, -   
594, -   ,10,N,1,2,M,1, -   
595, -   ,10,N,2,1,M,4, -   
596, -   ,10,Y,2,2,S,5, -   
597, -   ,10,N,2,2,S,3, -   
598, 1 ,10,Y,1,2,M,2, -   
599, -   ,10,Y,2,2,M,5, -   
600, -   ,10,N,2,2,S,4, -   
601, -   ,10,Y,2,2,S,4, -   
602, -   ,10,Y,2,2,M,3, -   
603, -   ,10,N,2,1,S,3, -   
604, -   ,10,N,2,1,M,4, -   
605, -   ,10,Y,2,1,M,5, -   
606, -   ,10,N,1,2,M,1, -   
607, 1 ,10,N,1,2,M,2, -   
608, -   ,10,Y,2,1,M,5, -   
609, -   ,10,N,2,2,S,3, -   
610, -   ,10,Y,1,1,M,4, -   
611, -   ,10,Y,2,1,M,5, -   
612, -   ,10,Y,2,1,M,5, -   
613, -   ,10,N,2,1,M,3, -   
614, -   ,10,Y,1,1,M,1, -   
615, -   ,10,Y,1,1,M,1, -   
616, -   ,10,N,2,1,M,5, -   
617, -   ,10,Y,2,1,M,3, -   
618, -   ,10,Y,2,1,M,4, -   
619, -   ,10,N,1,1,M,3, -   
620, -   ,10,N,1,1,M,4, -   
621, -   ,10,N,2,2,S,3, -   
622, -   ,10,N,1,2,S,3, -   
623, -   ,10,N,1,1,M,2, -   
624, -   ,10,N,2,1,M,5, -   
625, -   ,10,Y,2,1,S,5, -   
626, -   ,10,N,1,2,S,1, -   
627, -   ,10,Y,1,2,M,3, -   
628, -   ,10,Y,2,1,M,5, -   
629, -   ,10,N,2,2,S,2, -   
630, -   ,10,Y,1,1,M,4, -   
631, -   ,10,Y,1,2,S,2, -   
632, -   ,10,N,2,1,M,3, -   
633, -   ,10,Y,1,1,S,4, -   
634, -   ,10,Y,1,2,S,1, -   
635, -   ,10,Y,1,2,M,4, -   
636, -   ,10,Y,2,1,M,3, -   
637, -   ,10,N,2,1,M,4, -   
638, -   ,10,Y,1,2,S,1, -   
639, -   ,10,Y,2,1,M,5, -   
